index,timestamp,en_text,zh_opus,zh_translated
1,"00:00:05,960 --> 00:00:10,520",Subtitles created by a human.,鲜血 鲜血 鲜血 鲜血,字幕是由人类创建的.
2,"00:00:24,286 --> 00:00:25,286",Bleh.,鲜血 鲜血 鲜血 鲜血,没有.
3,"00:00:25,660 --> 00:00:29,453","Blood, blood, blood! And death.",鲜血 鲜血 鲜血 鲜血,"血,血,血!"
4,"00:00:29,531 --> 00:00:30,647","All right, you know what, you're milking it.",你演得可真不咋地,"好吧,你知道的 什么,你正在它."
5,"00:00:30,714 --> 00:00:32,668","Besides, I think we got it. I think we got it.",此外 我想我们已经明白了,"除此之外,我认为我们得到了它. 我认为我们得到了."
6,"00:00:32,758 --> 00:00:34,717","We got it up there. Thank you, Yakety-yak!",我们把它弄上去了,"我们在上面得到了. 谢谢你,Yakety-yak!"
7,"00:00:34,800 --> 00:00:36,737",You laid it all out beautifully.,你的讲演近乎完美,你把一切都设置得很漂亮.
8,"00:00:36,820 --> 00:00:39,280","I framed Lionheart. I can frame you, too.",我嫁祸给狮市长,我设置了狮子之心. 我也可以你.
9,"00:00:39,900 --> 00:00:41,809",It's my word against yours.,看他们相信谁说的,这是我的话与你的话.
10,"00:00:41,920 --> 00:00:42,980",Actually...,看他们相信谁说的,事实上...
11,"00:00:43,438 --> 00:00:46,607",And I'll dart every predator in Zootopia to keep it that way.,哪怕把每个食肉动物都射一枪 我也在所不惜,我会击败每一个掠食者. 在Zootopia保持这种方式.
12,"00:00:46,764 --> 00:00:48,400",It's your word against yours.,他们当然相信你说的,这是你的话与你的话.
13,"00:00:49,174 --> 00:00:50,882","It's called a hustle, sweetheart.",啊 这叫智取 宝贝,"这叫做忙,亲爱的."
14,"00:00:51,200 --> 00:00:51,780",Boom.,啊 这叫智取 宝贝,繁荣.
15,"00:00:55,023 --> 00:00:58,560","Unlikely duo, Judy Hopps, the city's first bunny cop,",这对看似不可能的组合 朱迪·霍克斯打造了这座城市的首位兔子警察,"不可能的双人,朱迪·霍普斯, 这是城市的第一个子警察,"
16,"00:00:58,760 --> 00:01:01,397","and Nicholas Wilde, a small-time street fox,",还有尼古拉斯·王尔德 一只小角色街头狐狸,"和尼古拉斯·威尔德, 一个小的街头狐,"
17,"00:01:01,580 --> 00:01:06,877",uncovered a conspiracy by Mayor Bellwether today using a toy carrot recorder pen.,今天用玩具小不点录音笔,揭露了贝尔韦德市长的阴谋 今天使用一个玩具胡卜记录笔.
18,"00:01:06,998 --> 00:01:08,420","I can frame you, too.",揭露了市长贝尔·韦瑟的阴谋,我也可以你.
19,"00:01:12,720 --> 00:01:17,668","Wilde later joined the ZPD himself, where the pair are now the very first",王尔德后来自己也加入了动物城警察局,"怀尔德后来也加入了警察局, 现在,这对是第一个."
20,"00:01:17,723 --> 00:01:20,640",bunny-fox team in the history of Zootopia.,这对搭档现在是动物成的历史上  第一支兔狐组合,子狐团队在Zootopia的历史中.
21,"00:01:22,040 --> 00:01:26,128","New mayor and former actor Brian Winddancer, hailed the two",新任市长兼前演员布莱恩·温丹瑟在庆祝动物城,"新市长和前演员 布莱恩·winddancer,欢迎他们两个"
22,"00:01:26,162 --> 00:01:31,496",during celebrations for the 100th anniversary of the invention of Zootopia's weather walls,气候墙发明100周年的庆典上盛赞二位,在庆祝100周年时 关于ZooTopia的天气墙的发明
23,"00:01:31,697 --> 00:01:36,597",that allowed all environments and all animals to coexist in one city.,这使得所有环境和所有动物都能在一个城市中共存,这允许所有环境 让所有动物共同生活在一个城市里.
24,"00:01:36,680 --> 00:01:39,680",This is our Zootennial.,这是我们的动物天堂,这是我们的动物园年纪.
25,"00:01:40,040 --> 00:01:44,619",And if a lowly country bunny and a shifty likely criminal fox,倘若一只孤独的乡下兔子和一只狡黠的,如果一个卑微的乡村子 一个的犯罪狐.
26,"00:01:44,644 --> 00:01:50,637","can ignore their vast, vast differences and solve bias and stereotype forever,",与一只狡诈可能有犯罪倾向的狐狸,"能忽略它们的巨大,巨大差异. 解决偏见和刻板印象永远,"
27,"00:01:50,880 --> 00:01:54,347",then maybe we can all embrace our,或许我们可以接纳彼此的差异 携手共进 共创美好未来,然后也许我们都能拥抱我们的
